país,año,población
Africa Western and Central,1996,246415446.0
Africa Western and Central,1995,239801875.0
Africa Western and Central,1994,233360104.0
Africa Western and Central,1993,227246778.0
Africa Western and Central,1992,221191375.0
Africa Western and Central,1991,215178709.0
Africa Western and Central,1990,209566031.0
Africa Western and Central,1989,204062274.0
Africa Western and Central,1988,198485027.0
Africa Western and Central,1987,193104347.0
Africa Western and Central,1986,187889141.0
Africa Western and Central,1985,182811038.0
Africa Western and Central,1984,177880746.0
Africa Western and Central,1983,173255157.0
Africa Western and Central,1982,168585118.0
Africa Western and Central,1981,163762473.0
Africa Western and Central,1980,159166518.0
Africa Western and Central,1979,154721711.0
Africa Western and Central,1978,150402616.0
Africa Western and Central,1977,146258576.0
Africa Western and Central,1976,142337272.0
Africa Western and Central,1975,138569918.0
Africa Western and Central,1974,134911581.0
Africa Western and Central,1973,131449942.0
Africa Western and Central,1972,128176494.0
Africa Western and Central,1971,125072948.0
Africa Western and Central,1970,122086536.0
Africa Western and Central,1969,119203521.0
Africa Western and Central,1968,116444636.0
Africa Western and Central,1967,113795019.0
Africa Western and Central,1966,111246953.0
Africa Western and Central,1965,108772632.0
Africa Western and Central,1964,106388440.0
Africa Western and Central,1963,104089175.0
Africa Western and Central,1962,101854756.0
Africa Western and Central,1961,99706674.0
Africa Western and Central,1960,97630925.0
Arab World,2023,481667539.0
Arab World,2022,471352066.0
Arab World,2021,460646603.0
Arab World,2020,453723239.0
Arab World,2019,444281315.0
Arab World,2018,435998060.0
Arab World,2017,428315886.0
Arab World,2016,419808341.0
Arab World,2015,410190679.0
Arab World,2014,400231008.0
Arab World,2013,390954281.0
Arab World,2012,381030177.0
Arab World,2011,372054934.0
Arab World,2010,363568534.0
Arab World,2009,356386673.0
Arab World,2008,347684619.0
Arab World,2007,338947976.0
Arab World,2006,330526310.0
Arab World,2005,322628451.0
Arab World,2004,315060277.0
Arab World,2003,307815105.0
Arab World,2002,300691509.0
Arab World,2001,293580252.0
Arab World,2000,286548096.0
Arab World,1999,279709634.0
Arab World,1998,273094199.0
Arab World,1997,266565183.0
Arab World,1996,260229121.0
Arab World,1995,253952538.0
Arab World,1994,247626514.0
Arab World,1993,240926205.0
Arab World,1992,234321565.0
Arab World,1991,228402316.0
Arab World,1990,223184294.0
Arab World,1989,215969068.0
Arab World,1988,210269696.0
Arab World,1987,204524595.0
Arab World,1986,198509771.0
Arab World,1985,192563243.0
Arab World,1984,186733957.0
Arab World,1983,180973288.0
Arab World,1982,175370356.0
Arab World,1981,170015485.0
Arab World,1980,164657321.0
Arab World,1979,159054118.0
Arab World,1978,153568663.0
Arab World,1977,148599336.0
Arab World,1976,144014135.0
Arab World,1975,139495837.0
Arab World,1974,135282861.0
Arab World,1973,131335660.0
Arab World,1972,127535560.0
Arab World,1971,123950810.0
Arab World,1970,120469263.0
Arab World,1969,117053219.0
Arab World,1968,113712171.0
Arab World,1967,110491709.0
Arab World,1966,107403055.0
Arab World,1965,104494008.0
Arab World,1964,101729760.0
Arab World,1963,99038509.0
Arab World,1962,96428599.0
Arab World,1961,93931683.0
Arab World,1960,91540853.0
Caribbean small states,2023,3152394.0
Caribbean small states,2022,3131505.0
Caribbean small states,2021,3111609.0
Caribbean small states,2020,3092577.0
Caribbean small states,2019,3079149.0
Caribbean small states,2018,3048465.0
Caribbean small states,2017,3009507.0
Caribbean small states,2016,2987438.0
Caribbean small states,2015,2964524.0
Caribbean small states,2014,2941203.0
Caribbean small states,2013,2917125.0
Caribbean small states,2012,2893251.0
Caribbean small states,2011,2873088.0
Caribbean small states,2010,2855621.0
Caribbean small states,2009,2836793.0
Caribbean small states,2008,2816379.0
Caribbean small states,2007,2795667.0
Caribbean small states,2006,2774985.0
Caribbean small states,2005,2754974.0
Caribbean small states,2004,2735189.0
Caribbean small states,2003,2712281.0
Caribbean small states,2002,2686785.0
Caribbean small states,2001,2661520.0
Caribbean small states,2000,2636455.0
Caribbean small states,1999,2610521.0
Caribbean small states,1998,2583369.0
Caribbean small states,1997,2555837.0
Caribbean small states,1996,2528256.0
Caribbean small states,1995,2500748.0
Caribbean small states,1994,2475465.0
Caribbean small states,1993,2454690.0
Caribbean small states,1992,2434849.0
Caribbean small states,1991,2415594.0
Caribbean small states,1990,2402741.0
Caribbean small states,1989,2392809.0
Caribbean small states,1988,2380540.0
Caribbean small states,1987,2368654.0
Caribbean small states,1986,2356746.0
Caribbean small states,1985,2343204.0
Caribbean small states,1984,2329434.0
Caribbean small states,1983,2316087.0
Caribbean small states,1982,2302968.0
Caribbean small states,1981,2290222.0
Caribbean small states,1980,2277343.0
Caribbean small states,1979,2265603.0
Caribbean small states,1978,2255006.0
Caribbean small states,1977,2243168.0
Caribbean small states,1976,2230099.0
Caribbean small states,1975,2216264.0
Caribbean small states,1974,2202042.0
Caribbean small states,1973,2187173.0
Caribbean small states,1972,2170696.0
Caribbean small states,1971,2145975.0
Caribbean small states,1970,2112837.0
Caribbean small states,1969,2075219.0
Caribbean small states,1968,2033780.0
Caribbean small states,1967,1992341.0
Caribbean small states,1966,1951498.0
Caribbean small states,1965,1911273.0
Caribbean small states,1964,1871841.0
Caribbean small states,1963,1831474.0
Caribbean small states,1962,1789993.0
Caribbean small states,1961,1751114.0
Caribbean small states,1960,1713405.0
Central Europe and the Baltics,2023,100175859.0
Central Europe and the Baltics,2022,100289401.0
Central Europe and the Baltics,2021,100647592.0
Central Europe and the Baltics,2020,102046650.0
Central Europe and the Baltics,2019,102282674.0
Central Europe and the Baltics,2018,102439383.0
Central Europe and the Baltics,2017,102656954.0
Central Europe and the Baltics,2016,102926796.0
Central Europe and the Baltics,2015,103206007.0
Central Europe and the Baltics,2014,103459388.0
Central Europe and the Baltics,2013,103691959.0
Central Europe and the Baltics,2012,103928128.0
Central Europe and the Baltics,2011,104174038.0
Central Europe and the Baltics,2010,104421447.0
Central Europe and the Baltics,2009,104800475.0
Central Europe and the Baltics,2008,105001883.0
Central Europe and the Baltics,2007,105378748.0
Central Europe and the Baltics,2006,105772481.0
Central Europe and the Baltics,2005,106041911.0
Central Europe and the Baltics,2004,106331716.0
Central Europe and the Baltics,2003,106624167.0
Central Europe and the Baltics,2002,106959751.0
Central Europe and the Baltics,2001,107660041.0
Central Europe and the Baltics,2000,108447824.0
Central Europe and the Baltics,1999,109060951.0
Central Europe and the Baltics,1998,109238340.0
Central Europe and the Baltics,1997,109422013.0
Central Europe and the Baltics,1996,109626194.0
Central Europe and the Baltics,1995,109864246.0
Central Europe and the Baltics,1994,110021594.0
Central Europe and the Baltics,1993,110041924.0
Central Europe and the Baltics,1992,110111454.0
Central Europe and the Baltics,1991,110469467.0
Central Europe and the Baltics,1990,110743128.0
Central Europe and the Baltics,1989,110801640.0
Central Europe and the Baltics,1988,110686740.0
Central Europe and the Baltics,1987,110296425.0
Central Europe and the Baltics,1986,109824166.0
Central Europe and the Baltics,1985,109338285.0
Central Europe and the Baltics,1984,108838073.0
Central Europe and the Baltics,1983,108297837.0
Central Europe and the Baltics,1982,107730380.0
Central Europe and the Baltics,1981,107129392.0
Central Europe and the Baltics,1980,106541316.0
Central Europe and the Baltics,1979,105948616.0
Central Europe and the Baltics,1978,105329397.0
Central Europe and the Baltics,1977,104616884.0
Central Europe and the Baltics,1976,103776068.0
Central Europe and the Baltics,1975,102860571.0
Central Europe and the Baltics,1974,101939916.0
Central Europe and the Baltics,1973,101112680.0
Central Europe and the Baltics,1972,100357161.0
Central Europe and the Baltics,1971,99635258.0
Central Europe and the Baltics,1970,99134548.0
Central Europe and the Baltics,1969,98606630.0
Central Europe and the Baltics,1968,97884022.0
Central Europe and the Baltics,1967,97043270.0
Central Europe and the Baltics,1966,96146336.0
Central Europe and the Baltics,1965,95440988.0
Central Europe and the Baltics,1964,94715795.0
Central Europe and the Baltics,1963,93840016.0
Central Europe and the Baltics,1962,93009498.0
Central Europe and the Baltics,1961,92232738.0
Central Europe and the Baltics,1960,91401764.0
Early-demographic dividend,2023,3511076811.0
Early-demographic dividend,2022,3470644834.0
Early-demographic dividend,2021,3432026092.0
Early-demographic dividend,2020,3396051187.0
Early-demographic dividend,2019,3355014793.0
Early-demographic dividend,2018,3314245247.0
Early-demographic dividend,2017,3274060446.0
Early-demographic dividend,2016,3233033717.0
Early-demographic dividend,2015,3190318707.0
Early-demographic dividend,2014,3146800078.0
Early-demographic dividend,2013,3103677284.0
Early-demographic dividend,2012,3058869436.0
Early-demographic dividend,2011,3013476947.0
Early-demographic dividend,2010,2967104472.0
Early-demographic dividend,2009,2921563644.0
Early-demographic dividend,2008,2875943965.0
Early-demographic dividend,2007,2830531957.0
Early-demographic dividend,2006,2784726644.0
Early-demographic dividend,2005,2738846905.0
Early-demographic dividend,2004,2693184997.0
Early-demographic dividend,2003,2647109296.0
Early-demographic dividend,2002,2601917557.0
Early-demographic dividend,2001,2556335424.0
Early-demographic dividend,2000,2509431470.0
Early-demographic dividend,1999,2462704115.0
Early-demographic dividend,1998,2416119734.0
Early-demographic dividend,1997,2369042441.0
Early-demographic dividend,1996,2321284245.0
Early-demographic dividend,1995,2273692181.0
Early-demographic dividend,1994,2228719169.0
Early-demographic dividend,1993,2184656122.0
Early-demographic dividend,1992,2138854231.0
Early-demographic dividend,1991,2092102478.0
Early-demographic dividend,1990,2044241467.0
Early-demographic dividend,1989,1994666990.0
Early-demographic dividend,1988,1947928955.0
Early-demographic dividend,1987,1901405537.0
Early-demographic dividend,1986,1855391159.0
Early-demographic dividend,1985,1810019176.0
Early-demographic dividend,1984,1765269111.0
Early-demographic dividend,1983,1721104015.0
Early-demographic dividend,1982,1677532811.0
Early-demographic dividend,1981,1634107159.0
Early-demographic dividend,1980,1591961664.0
Early-demographic dividend,1979,1552194676.0
Early-demographic dividend,1978,1514572817.0
Early-demographic dividend,1977,1478479688.0
Early-demographic dividend,1976,1442753987.0
Early-demographic dividend,1975,1407636737.0
Early-demographic dividend,1974,1373219822.0
Early-demographic dividend,1973,1339671375.0
Early-demographic dividend,1972,1307009646.0
Early-demographic dividend,1971,1276141826.0
Early-demographic dividend,1970,1245960808.0
Early-demographic dividend,1969,1215536741.0
Early-demographic dividend,1968,1185936827.0
Early-demographic dividend,1967,1156817324.0
Early-demographic dividend,1966,1128474732.0
Early-demographic dividend,1965,1101264258.0
Early-demographic dividend,1964,1074021283.0
Early-demographic dividend,1963,1046697479.0
Early-demographic dividend,1962,1020130725.0
Early-demographic dividend,1961,994176841.0
Early-demographic dividend,1960,968909356.0
East Asia & Pacific,2023,2384463611.0
East Asia & Pacific,2022,2379648296.0
East Asia & Pacific,2021,2375144416.0
East Asia & Pacific,2020,2369438682.0
East Asia & Pacific,2019,2359771090.0
East Asia & Pacific,2018,2347576325.0
East Asia & Pacific,2017,2333475520.0
East Asia & Pacific,2016,2317076058.0
East Asia & Pacific,2015,2300844269.0
East Asia & Pacific,2014,2284385542.0
East Asia & Pacific,2013,2267072102.0
East Asia & Pacific,2012,2249081393.0
East Asia & Pacific,2011,2230826576.0
East Asia & Pacific,2010,2214613815.0
East Asia & Pacific,2009,2199148703.0
East Asia & Pacific,2008,2183472438.0
East Asia & Pacific,2007,2167046538.0
East Asia & Pacific,2006,2150688938.0
East Asia & Pacific,2005,2134573057.0
East Asia & Pacific,2004,2118747885.0
East Asia & Pacific,2003,2102761941.0
East Asia & Pacific,2002,2086144389.0
East Asia & Pacific,2001,2068682053.0
East Asia & Pacific,2000,2050149617.0
East Asia & Pacific,1999,2030912462.0
East Asia & Pacific,1998,2010443502.0
East Asia & Pacific,1997,1988067577.0
East Asia & Pacific,1996,1964830092.0
East Asia & Pacific,1995,1941185229.0
East Asia & Pacific,1994,1917389243.0
East Asia & Pacific,1993,1893258583.0
East Asia & Pacific,1992,1869074614.0
East Asia & Pacific,1991,1844189720.0
East Asia & Pacific,1990,1817735540.0
East Asia & Pacific,1989,1790596763.0
East Asia & Pacific,1988,1762935833.0
East Asia & Pacific,1987,1734703332.0
East Asia & Pacific,1986,1706848193.0
East Asia & Pacific,1985,1680467328.0
East Asia & Pacific,1984,1655262815.0
East Asia & Pacific,1983,1630462292.0
East Asia & Pacific,1982,1604459614.0
East Asia & Pacific,1981,1578588010.0
East Asia & Pacific,1980,1555055134.0
East Asia & Pacific,1979,1532260865.0
East Asia & Pacific,1978,1509072365.0
East Asia & Pacific,1977,1486396758.0
East Asia & Pacific,1976,1463746788.0
East Asia & Pacific,1975,1439633651.0
East Asia & Pacific,1974,1413495985.0
East Asia & Pacific,1973,1384604432.0
East Asia & Pacific,1972,1354227576.0
East Asia & Pacific,1971,1322855661.0
East Asia & Pacific,1970,1288720409.0
East Asia & Pacific,1969,1256164039.0
East Asia & Pacific,1968,1224396287.0
East Asia & Pacific,1967,1194632157.0
East Asia & Pacific,1966,1166223463.0
East Asia & Pacific,1965,1136869154.0
East Asia & Pacific,1964,1110651177.0
East Asia & Pacific,1963,1085095424.0
East Asia & Pacific,1962,1059216594.0
East Asia & Pacific,1961,1044749888.0
East Asia & Pacific,1960,1042838451.0
East Asia & Pacific (excluding high income),2023,2137527754.0
East Asia & Pacific (excluding high income),2022,2133560408.0
East Asia & Pacific (excluding high income),2021,2128553744.0
East Asia & Pacific (excluding high income),2020,2121866294.0
East Asia & Pacific (excluding high income),2019,2112289891.0
East Asia & Pacific (excluding high income),2018,2100698838.0
East Asia & Pacific (excluding high income),2017,2087238522.0
East Asia & Pacific (excluding high income),2016,2071486140.0
East Asia & Pacific (excluding high income),2015,2056050896.0
East Asia & Pacific (excluding high income),2014,2040383789.0
East Asia & Pacific (excluding high income),2013,2023850158.0
East Asia & Pacific (excluding high income),2012,2006566431.0
East Asia & Pacific (excluding high income),2011,1989106668.0
East Asia & Pacific (excluding high income),2010,1973602166.0
East Asia & Pacific (excluding high income),2009,1959017463.0
East Asia & Pacific (excluding high income),2008,1944305887.0
East Asia & Pacific (excluding high income),2007,1929185103.0
East Asia & Pacific (excluding high income),2006,1914002124.0
East Asia & Pacific (excluding high income),2005,1898853723.0
East Asia & Pacific (excluding high income),2004,1883675167.0
East Asia & Pacific (excluding high income),2003,1868409996.0
East Asia & Pacific (excluding high income),2002,1852659155.0
East Asia & Pacific (excluding high income),2001,1836260943.0
East Asia & Pacific (excluding high income),2000,1819011507.0
East Asia & Pacific (excluding high income),1999,1800932833.0
East Asia & Pacific (excluding high income),1998,1781546477.0
East Asia & Pacific (excluding high income),1997,1760512371.0
East Asia & Pacific (excluding high income),1996,1738632397.0
East Asia & Pacific (excluding high income),1995,1716602413.0
East Asia & Pacific (excluding high income),1994,1694244506.0
East Asia & Pacific (excluding high income),1993,1671604370.0
East Asia & Pacific (excluding high income),1992,1648872786.0
East Asia & Pacific (excluding high income),1991,1625498444.0
East Asia & Pacific (excluding high income),1990,1600739173.0
East Asia & Pacific (excluding high income),1989,1575101307.0
East Asia & Pacific (excluding high income),1988,1549038591.0
East Asia & Pacific (excluding high income),1987,1522374575.0
East Asia & Pacific (excluding high income),1986,1496124294.0
East Asia & Pacific (excluding high income),1985,1471340337.0
East Asia & Pacific (excluding high income),1984,1447871073.0
East Asia & Pacific (excluding high income),1983,1424971585.0
East Asia & Pacific (excluding high income),1982,1401081634.0
East Asia & Pacific (excluding high income),1981,1377473854.0
East Asia & Pacific (excluding high income),1980,1356226475.0
East Asia & Pacific (excluding high income),1979,1335637622.0
East Asia & Pacific (excluding high income),1978,1314775496.0
East Asia & Pacific (excluding high income),1977,1294303118.0
East Asia & Pacific (excluding high income),1976,1273922384.0
East Asia & Pacific (excluding high income),1975,1252174248.0
East Asia & Pacific (excluding high income),1974,1228688547.0
East Asia & Pacific (excluding high income),1973,1202715705.0
East Asia & Pacific (excluding high income),1972,1175176176.0
East Asia & Pacific (excluding high income),1971,1146649477.0
East Asia & Pacific (excluding high income),1970,1116395242.0
East Asia & Pacific (excluding high income),1969,1086662478.0
East Asia & Pacific (excluding high income),1968,1057697808.0
East Asia & Pacific (excluding high income),1967,1030471073.0
East Asia & Pacific (excluding high income),1966,1004271490.0
East Asia & Pacific (excluding high income),1965,977366928.0
East Asia & Pacific (excluding high income),1964,953783472.0
East Asia & Pacific (excluding high income),1963,930810837.0
East Asia & Pacific (excluding high income),1962,907473022.0
East Asia & Pacific (excluding high income),1961,895534581.0
East Asia & Pacific (excluding high income),1960,895961535.0
East Asia & Pacific (IDA & IBRD countries),2023,2111139152.0
East Asia & Pacific (IDA & IBRD countries),2022,2107261123.0
East Asia & Pacific (IDA & IBRD countries),2021,2102350702.0
East Asia & Pacific (IDA & IBRD countries),2020,2095759417.0
East Asia & Pacific (IDA & IBRD countries),2019,2086281644.0
East Asia & Pacific (IDA & IBRD countries),2018,2074796982.0
East Asia & Pacific (IDA & IBRD countries),2017,2061449949.0
East Asia & Pacific (IDA & IBRD countries),2016,2045816761.0
East Asia & Pacific (IDA & IBRD countries),2015,2030504270.0
East Asia & Pacific (IDA & IBRD countries),2014,2014960984.0
East Asia & Pacific (IDA & IBRD countries),2013,1998548872.0
East Asia & Pacific (IDA & IBRD countries),2012,1981382735.0
East Asia & Pacific (IDA & IBRD countries),2011,1964036970.0
East Asia & Pacific (IDA & IBRD countries),2010,1948643347.0
East Asia & Pacific (IDA & IBRD countries),2009,1934167856.0
East Asia & Pacific (IDA & IBRD countries),2008,1919570287.0
East Asia & Pacific (IDA & IBRD countries),2007,1904568042.0
East Asia & Pacific (IDA & IBRD countries),2006,1889507244.0
East Asia & Pacific (IDA & IBRD countries),2005,1874487158.0
East Asia & Pacific (IDA & IBRD countries),2004,1859450104.0
East Asia & Pacific (IDA & IBRD countries),2003,1844349334.0
East Asia & Pacific (IDA & IBRD countries),2002,1828744767.0
East Asia & Pacific (IDA & IBRD countries),2001,1812475067.0
East Asia & Pacific (IDA & IBRD countries),2000,1795374943.0
East Asia & Pacific (IDA & IBRD countries),1999,1777464322.0
East Asia & Pacific (IDA & IBRD countries),1998,1758263635.0
East Asia & Pacific (IDA & IBRD countries),1997,1737429846.0
East Asia & Pacific (IDA & IBRD countries),1996,1715764488.0
East Asia & Pacific (IDA & IBRD countries),1995,1693960469.0
East Asia & Pacific (IDA & IBRD countries),1994,1671877438.0
East Asia & Pacific (IDA & IBRD countries),1993,1649557492.0
East Asia & Pacific (IDA & IBRD countries),1992,1627147885.0
East Asia & Pacific (IDA & IBRD countries),1991,1604095270.0
East Asia & Pacific (IDA & IBRD countries),1990,1579651917.0
East Asia & Pacific (IDA & IBRD countries),1989,1554321275.0
East Asia & Pacific (IDA & IBRD countries),1988,1528559240.0
East Asia & Pacific (IDA & IBRD countries),1987,1502192372.0
East Asia & Pacific (IDA & IBRD countries),1986,1476236205.0
East Asia & Pacific (IDA & IBRD countries),1985,1451742188.0
East Asia & Pacific (IDA & IBRD countries),1984,1428557744.0
East Asia & Pacific (IDA & IBRD countries),1983,1405938773.0
East Asia & Pacific (IDA & IBRD countries),1982,1382326011.0
East Asia & Pacific (IDA & IBRD countries),1981,1358992800.0
East Asia & Pacific (IDA & IBRD countries),1980,1338009609.0
East Asia & Pacific (IDA & IBRD countries),1979,1317673957.0
East Asia & Pacific (IDA & IBRD countries),1978,1297059239.0
East Asia & Pacific (IDA & IBRD countries),1977,1276830008.0
East Asia & Pacific (IDA & IBRD countries),1976,1256698596.0
East Asia & Pacific (IDA & IBRD countries),1975,1235222835.0
East Asia & Pacific (IDA & IBRD countries),1974,1212035036.0
East Asia & Pacific (IDA & IBRD countries),1973,1186384756.0
East Asia & Pacific (IDA & IBRD countries),1972,1159220113.0
East Asia & Pacific (IDA & IBRD countries),1971,1131095541.0
East Asia & Pacific (IDA & IBRD countries),1970,1101240545.0
East Asia & Pacific (IDA & IBRD countries),1969,1071912603.0
East Asia & Pacific (IDA & IBRD countries),1968,1043349620.0
East Asia & Pacific (IDA & IBRD countries),1967,1016529846.0
East Asia & Pacific (IDA & IBRD countries),1966,990719244.0
East Asia & Pacific (IDA & IBRD countries),1965,964163938.0
East Asia & Pacific (IDA & IBRD countries),1964,940909509.0
East Asia & Pacific (IDA & IBRD countries),1963,918259043.0
East Asia & Pacific (IDA & IBRD countries),1962,895224912.0
East Asia & Pacific (IDA & IBRD countries),1961,883558197.0
East Asia & Pacific (IDA & IBRD countries),1960,884252517.0
Euro area,2023,349670802.0
Euro area,2022,348627172.0
Euro area,2021,347094588.0
Euro area,2020,346922366.0
Euro area,2019,346454019.0
Euro area,2018,346105839.0
Euro area,2017,345333240.0
Euro area,2016,344655545.0
Euro area,2015,343698622.0
Euro area,2014,342713336.0
Euro area,2013,341575309.0
Euro area,2012,340447763.0
Euro area,2011,339719975.0
Euro area,2010,340460814.0
Euro area,2009,339676755.0
Euro area,2008,338594025.0
Euro area,2007,336965048.0
Euro area,2006,335243820.0
Euro area,2005,333700554.0
Euro area,2004,331997265.0
Euro area,2003,330200359.0
Euro area,2002,328438861.0
Euro area,2001,326858314.0
Euro area,2000,325789631.0
Euro area,1999,324781951.0
Euro area,1998,323976358.0
Euro area,1997,323306275.0
Euro area,1996,322568383.0
Euro area,1995,321808185.0
Euro area,1994,321024031.0
Euro area,1993,320053176.0
Euro area,1992,318742973.0
Euro area,1991,317407910.0
Euro area,1990,316087007.0
Euro area,1989,314634075.0
Euro area,1988,313272522.0
Euro area,1987,312223048.0
Euro area,1986,311372728.0
Euro area,1985,310617659.0
Euro area,1984,310046458.0
Euro area,1983,309543455.0
Euro area,1982,308901125.0
Euro area,1981,308127421.0
Euro area,1980,306894340.0
Euro area,1979,305541545.0
Euro area,1978,304275086.0
Euro area,1977,303021757.0
Euro area,1976,301804324.0
Euro area,1975,300516726.0
Euro area,1974,299065145.0
Euro area,1973,297413652.0
Euro area,1972,295527442.0
Euro area,1971,293516097.0
Euro area,1970,291834356.0
Euro area,1969,290179378.0
Euro area,1968,288206171.0
Euro area,1967,286298506.0
Euro area,1966,284299197.0
Euro area,1965,282028347.0
Euro area,1964,279621056.0
Euro area,1963,277205348.0
Euro area,1962,274815182.0
Euro area,1961,272472951.0
Euro area,1960,270148970.0
Europe & Central Asia,2023,924969865.0
Europe & Central Asia,2022,925385334.5
Europe & Central Asia,2021,925075848.0
Europe & Central Asia,2020,925088545.5
Europe & Central Asia,2019,922811778.0
Europe & Central Asia,2018,919738352.5
Europe & Central Asia,2017,916236104.5
Europe & Central Asia,2016,912576858.5
Europe & Central Asia,2015,908458970.5
Europe & Central Asia,2014,904324263.5
Europe & Central Asia,2013,900033335.0
Europe & Central Asia,2012,895889705.0
Europe & Central Asia,2011,892361936.5
Europe & Central Asia,2010,890448752.0
Europe & Central Asia,2009,887281039.0
Europe & Central Asia,2008,883840223.0
Europe & Central Asia,2007,880338408.5
Europe & Central Asia,2006,877911050.0
Europe & Central Asia,2005,875366720.5
Europe & Central Asia,2004,872926624.5
Europe & Central Asia,2003,870443479.0
Europe & Central Asia,2002,868204040.0
Europe & Central Asia,2001,866587785.5
Europe & Central Asia,2000,865392493.5
Europe & Central Asia,1999,864306932.0
Europe & Central Asia,1998,863317612.5
Europe & Central Asia,1997,862335055.5
Europe & Central Asia,1996,861073424.5
Europe & Central Asia,1995,859504753.0
Europe & Central Asia,1994,857724585.5
Europe & Central Asia,1993,855554221.0
Europe & Central Asia,1992,852664500.5
Europe & Central Asia,1991,849169384.0
Europe & Central Asia,1990,845290251.0
Europe & Central Asia,1989,840881506.0
Europe & Central Asia,1988,835601587.0
Europe & Central Asia,1987,830294805.0
Europe & Central Asia,1986,825034695.0
Europe & Central Asia,1985,819874109.0
Europe & Central Asia,1984,814856984.0
Europe & Central Asia,1983,809947364.0
Europe & Central Asia,1982,805247476.0
Europe & Central Asia,1981,800542417.0
Europe & Central Asia,1980,795362835.0
Europe & Central Asia,1979,789862141.0
Europe & Central Asia,1978,784556247.0
Europe & Central Asia,1977,779117798.0
Europe & Central Asia,1976,773619713.0
Europe & Central Asia,1975,768080678.0
Europe & Central Asia,1974,762546552.0
Europe & Central Asia,1973,756775460.0
Europe & Central Asia,1972,750728655.0
Europe & Central Asia,1971,744432963.0
Europe & Central Asia,1970,738724073.0
Europe & Central Asia,1969,733044421.0
Europe & Central Asia,1968,726634174.0
